Country,Top10,CO2_habitant,PIB_habitant
Sao Tome and Principe,0.3938,0.881897747517,3106.5703
Denmark,0.3364,8.300108909610001,44933.5908
Bolivia,0.4861,1.9291344881099999,6812.1136
New Zealand,0.3457,8.42514801025,33496.0832
Gambia,0.4587,0.396582573652,1743.3963
Cyprus,0.3634,12.8999481201,30887.4154
Niger,0.433,0.23805196583299998,937.1865
Iran,0.5266,8.60231876373,12934.9501
Seychelles,0.5209,9.839364051819999,23288.1918
Moldova,0.3445,0.905217528343,6712.6824
Suriname,0.4861,3.5886440277099996,18309.5012
Haiti,0.4861,0.313987612724,2687.9955
Iceland,0.2908,14.594711303699999,46063.8453
Kazakhstan,0.4253,12.5432815552,22253.09
Poland,0.3764,7.551680564880001,25978.2242
Nepal,0.4192,0.6985327005390001,3038.6692
Madagascar,0.5076,0.19313140213500002,1306.3053
Zimbabwe,0.5895,0.8004889488220001,2173.0205
Argentina,0.4278,4.050642967219999,21232.0559
Tunisia,0.4137,2.4515676498400003,8569.3901
Congo,0.5593,0.7265727519990001,2993.3272
Estonia,0.3462,11.707680702200001,28567.5361
Central African Republic,0.6491,0.135689467192,728.9316
Angola,0.5801,0.713011682034,6595.3981
Philippines,0.4608,1.5107463598299997,6967.2117
Slovenia,0.2952,8.4545955658,29842.4151
Cambodia,0.465,1.2394505739200001,3364.5244
Romania,0.4146,3.9596281051599997,23558.0178
Nigeria,0.4272,0.6649450063710001,4772.8795
El Salvador,0.4107,1.29732263088,6767.0168
Netherlands,0.2941,8.669143676760001,43954.2555
Cote d’Ivoire,0.4865,0.686821520329,3953.8102
Malawi,0.5645,0.176753565669,863.3329
Brunei Darussalam,0.3776,5.2868199348400005,56107.8937
Senegal,0.4771,0.66544085741,2598.3733
Libya,0.4421,3.0234789848299997,17633.0816
Oman,0.8268,13.3377065659,23677.6945
Brazil,0.5856,2.31174516678,12455.9685
Germany,0.3722,9.50908660889,39236.2931
Maldives,0.3996,3.00205111504,14933.3764
Cuba,0.4008,3.6549680233,18925.0586
Korea,0.4645,12.8422517776,32404.5022
Slovakia,0.26899999999999996,8.13052845001,24888.8885
Kuwait,0.5386,23.5544242859,43451.2722
Costa Rica,0.501,2.65546774864,14977.8197
Zambia,0.6174,0.5422114133829999,3317.8251
Malaysia,0.4027,7.714197635650001,22149.1305
Cabo Verde,0.4908,1.5811295509299998,5462.6685
Ecuador,0.3732,2.74789214134,8690.3057
Uzbekistan,0.4626,2.65369534492,5888.3479
Lesotho,0.4951,1.89916229248,2125.323
Armenia,0.4062,2.0531210899400003,10584.688999999998
Gabon,0.4332,1.6474814415,12226.3347
Venezuela,0.4861,4.78467941284,285079.1448
Nicaragua,0.4861,1.0064549446100002,4228.0001
Guatemala,0.4861,1.45075011253,6321.9077
Ethiopia,0.4547,0.19316342473,2003.4795
Sweden,0.2961,7.4334492683399995,42664.633
Benin,0.5475,0.800892591476,2517.3854
Azerbaijan,0.3907,4.16969060898,12379.7741
India,0.5713,1.7396259307900002,5508.5858
Ukraine,0.3349,4.82161331177,9966.7027
Montenegro,0.3602,6.50971794128,16267.8675
